"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
0,1.3139158,306.021638,72.751916,272407.834152,-88.380182904
0.16,1.3140924,306.014187,72.759334,272393.468928,-88.42055976
0.2,1.3141263,306.012398,72.761121,272390.116128,-88.4309382
1,1.3142869,305.975196,72.76688,272319.192216,-88.616186496
2,1.3129987,305.928797,72.771717,272230.452744,-88.839153792
3,1.3101224,305.882441,72.857124,272141.643168,-89.028199896
3.48,1.3082091,305.860108,72.922137,272099.114424,-89.101906632
3.72,1.3071333,305.848979,72.959768,272077.543728,-89.133770424
3.96,1.3059745,305.837923,72.99897,272056.198584,-89.161083552
4,1.3057751,305.836055,73.005566,272052.559272,-89.165036808
4.1999998,1.3047417,305.826791,73.038888,272034.600456,-89.183132784
4.3200002,1.3040948,305.821261,73.05945,272023.914168,-89.192401752
4.4400001,1.3034296,305.815731,73.079789,272013.22788,-89.20004004
5,1.3000833,305.789713,73.191203,271963.481472,-89.217096648
6,1.293441,305.742069,73.397053,271871.843352,-94.052416416
7,1.2865368,305.690628,73.759533,271775.639328,-99.156167448
8,1.2800776,305.635627,74.094367,271673.430744,-103.930466256
9,1.2745722,305.576962,74.332273,271567.613328,-108.48615336
10,1.2704198,305.514716,74.625063,271456.977024,-112.881844848
11,1.2680137,305.448806,74.863173,271341.460872,-117.109871952
12,1.2676865,305.379209,75.187169,271222.844904,-121.180759416
13,1.2698143,305.306087,75.59797,271099.349088,-125.019224688
14,1.2747415,305.229343,75.958869,270972.527904,-128.592809616
15,1.2828511,305.148967,76.425676,270842.570328,-131.885109864
16,1.294569,305.065262,76.97396,270709.00392,-134.78047212
17,1.3103598,304.978212,77.339543,270572.855856,-137.284961904
18,1.3304159,304.887653,77.461016,270434.619912,-139.943293392
19,1.354697,304.793661,77.675799,270292.985448,-142.722755448
20,1.3832326,304.695913,77.918846,270148.757136,-145.504649808
21,1.4160948,304.5944,78.150299,270002.072136,-148.224432024
22,1.4533037,304.488958,78.404918,269852.598216,-150.789327072
23,1.4948218,304.379726,78.658339,269700.92364,-153.171238488
24,1.5406363,304.266622,78.921893,269546.1462,-155.388637152
25,1.5908092,304.149623,79.200042,269390.055072,-157.36052856
26,1.6454581,304.028877,79.470401,269231.690136,-159.117389664
27,1.7046422,303.904291,79.69549,269071.819488,-160.717132464
28,1.7684291,303.7757,80.009777,268910.190144,-162.126981816
29,1.8368642,303.643087,80.28634,268747.820136,-163.295207064
30,1.9100487,303.50652,80.506525,268583.548176,-164.260828704
31,1.9878979,303.365519,80.393995,268418.64528,-165.540193176
32,2.0699672,303.21976,80.382102,268252.282392,-167.528278608
33,2.1559355,303.068763,80.657131,268084.06632,-169.464209712
34,2.2459556,302.91243,80.880945,267913.283832,-171.09752928
35,2.3401121,302.750586,81.127765,267741.44064,-172.534902072
36,2.4384907,302.583134,81.388393,267568.655616,-173.716252008
37,2.541215,302.409894,81.639168,267394.047888,-174.656014416
38,2.6483548,302.23077,81.910031,267219.400536,-175.352534232
39,2.7600232,302.0455,82.143894,267043.658952,-175.808569896
40,2.8762593,301.853985,82.383906,266867.832024,-176.031034272
41,2.9971546,301.655884,82.620699,266691.51132,-176.0396022
42,3.1227995,301.451176,82.918804,266515.99224,-175.6819956
43,3.2533305,301.239591,83.193969,266340.354288,-174.984152952
44,3.3888272,301.020872,83.484619,266166.130608,-173.902667688
45,3.5294052,300.794987,83.784435,265993.089552,-172.410339456
46,3.6751768,300.561663,84.084423,265821.218928,-170.508734928
47,3.8262026,300.320566,84.39686,265651.9452,-168.11871888
48,3.9825696,300.071736,84.716236,265485.338472,-165.229373376
49,4.1443495,299.814899,85.053057,265321.484088,-161.792524776
50,4.3115651,299.549801,85.421982,265162.11636,-157.735472184
51,4.4843134,299.276236,85.7739,265006.811616,-153.022855752
52,4.6626653,298.994089,86.159224,264856.194696,-147.606858456
53,4.8466799,298.703095,86.459145,264711.338496,-141.469573296
54,5.0362977,298.402905,86.631094,264573.114744,-134.822988672
55,5.2313233,298.09309,86.838795,264442.169616,-127.652263872
56,5.4316728,297.77327,87.022318,264317.841696,-119.873639856
57,5.6372138,297.442728,87.214874,264202.648632,-111.419158416
58,5.8479163,297.101229,87.487681,264095.66688,-102.193539072
59,6.0637915,296.748106,87.935691,263998.234512,-91.8929328
60,6.2850109,296.383175,88.351631,263912.189472,-80.353759536
61,6.5117165,296.006155,88.767005,263838.421776,-67.551333528
62,6.7440261,295.616678,89.195389,263777.726952,-53.406074544
63,6.9820394,295.214571,89.635553,263732.138016,-37.833281712
64,7.2259344,294.7993,90.094294,263702.343816,-20.7150333984
65,7.4758322,294.370469,90.556153,263690.926008,-1.93800630432
66,7.731918,293.927635,91.02337,263699.009304,18.6157273608
67,7.9943363,293.470243,91.500417,263729.135736,41.083665864
68,8.2632297,292.997916,91.984597,263782.039872,65.498575632
69,8.5374568,292.512254,92.480446,263860.221072,90.99131916
70,8.8138363,292.017975,92.975217,263964.093864,116.23842132
71,9.0894472,291.519789,93.503354,264092.48172,140.925042
72,9.3628892,291.020087,94.042049,264245.329776,165.249996144
73,9.6335955,290.519473,94.573442,264423.034272,189.326242632
74,9.901364,290.018394,95.094902,264624.44916,213.18882432
75,10.166046,289.517016,95.612078,264849.486048,236.843325144
76,10.427551,289.01564,96.123441,265097.541432,260.278391304
76.360001,10.520875,288.835191,96.306951,265192.876776,268.659565296
77,10.685718,288.514342,96.634152,265369.810128,283.492495752
78,10.940544,288.013203,97.152149,265664.652312,306.48450768
79,11.191925,287.512257,97.662825,265982.5008,329.25187896
80,11.439792,287.011763,98.165001,266323.35864,351.78769368
81,11.684141,286.511659,98.664367,266686.122456,374.10076056
82,11.924883,286.012162,99.160375,267071.44452,396.18568464
83,12.162022,285.513298,99.650461,267478.328136,418.04383752
83.760002,12.339771,285.134571,100.01862,267802.6902,434.50434816
84,12.395488,285.015105,100.13399,267907.20612,439.67335992
85,12.625253,284.517569,100.60001,268357.752336,461.07528816
86,12.851315,284.020981,101.05707,268829.262696,482.23837512
86.760002,13.02059,283.644184,101.40869,269202.155016,498.16365696
87,13.073614,283.52529,101.52084,269322.066384,503.16524208
88,13.292132,283.030479,101.99252,269835.846408,523.85726064
89,13.506874,282.536835,102.46759,270369.856008,544.30486008
89.760002,13.667521,282.162289,102.83174,270789.489408,559.68832944
90,13.717795,282.044216,102.94707,270924.366456,564.51471552
90.760002,13.875559,281.670637,103.31102,271358.843616,579.71128152
91,13.924912,281.552811,103.42367,271498.5426,584.4802128
91.160004,13.957665,281.474247,103.49666,271592.734944,587.65345512
91.599998,14.047323,281.258565,103.68814,271852.84212,596.36546208
91.639999,14.055453,281.238892,103.70417,271876.436688,597.22883856
91.68,14.063532,281.219287,103.72179,271900.799352,598.13208288
92,14.128244,281.062363,104.15456,272093.411616,605.69100096
92.040001,14.136331,281.042799,104.25487,272117.42376,606.64514688
93,14.328793,280.570557,104.14436,272711.381424,630.27766248
94,14.526827,280.076451,96.531924,273353.022,653.5824876
95,14.72255,279.580089,89.245903,274017.431136,674.36201424
96,14.916328,279.081201,83.748397,274701.5334,692.91528168
97,15.108517,278.580131,79.941024,275402.689224,709.72460544
98,15.299353,278.076782,77.527541,276120.045168,725.2671804
99,15.489054,277.571048,76.189589,276852.756936,739.97064096
100,15.67782,277.063088,75.617167,277600.117392,754.18059984
101,15.865833,276.55278,75.593553,278361.270048,768.19295688
101.6,15.978318,276.245433,75.775875,278824.748928,776.6073876
102,16.053175,276.040059,76.09323,279136.751352,782.23875048
103,16.239993,275.524793,77.461769,279925.710912,796.79328576
104,16.426247,275.006806,78.472144,280730.0202,811.9619016
