"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
0,3.2879098,195.18485,177.72561,172723.402584,236.900392848
0.16,3.2868059,195.18432,177.72574,172761.450768,236.738108184
0.2,3.2865307,195.18423,177.7254,172770.552096,236.697767904
1,3.279925,195.18188,177.54921,172959.863376,235.90974408
2,3.2693754,195.17895,177.17547,173195.25432,234.967220184
3,3.256385,195.17606,177.4443,173429.611992,234.05918136
3.48,3.2493269,195.17478,177.63352,173542.150248,233.626572624
3.72,3.2456115,195.17403,177.72464,173598.282216,233.40893628
3.96,3.2417857,195.17331,177.79476,173653.975272,233.186663928
4,3.241133,195.17318,177.80348,173663.390544,233.148975408
4.1999998,3.2378303,195.17257,177.83265,173710.049328,232.957737792
4.3200002,3.2358143,195.17221,177.83708,173737.868424,232.840740312
4.4400001,3.2337704,195.17185,177.8313,173765.681424,232.722124344
5,3.2238444,195.17035,177.63204,173896.242504,232.145881656
6,3.2048968,195.16743,176.51633,174135.202656,248.142319056
7,3.1850012,195.16502,174.01265,174392.383752,266.062102368
8,3.1652459,195.16247,172.18389,174667.532808,284.040029328
9,3.146479,195.16051,171.01618,174960.570576,302.116370112
10,3.1292872,195.15865,169.55439,175271.698224,320.35811976
11,3.1142568,195.15687,167.9401,175601.470488,338.74777056
12,3.101936,195.15568,166.20311,175949.555136,357.25839648
13,3.0928485,195.15438,164.34512,176315.96436,375.7222356
14,3.0875301,195.15344,162.35118,176700.777408,394.08168072
15,3.0865371,195.15286,160.25582,177104.140584,412.2567828
16,3.0904986,195.15228,157.78169,177525.045,429.96996048
17,3.1000986,195.15195,156.42487,177963.447984,447.2705304
18,3.115566,195.15204,156.33853,178420.023144,465.42475368
19,3.1367495,195.1521,155.80092,178894.819248,484.41867048
20,3.1636142,195.15248,155.11767,179389.043304,503.99804712
21,3.1962015,195.15317,154.52295,179902.753224,523.8981648
22,3.2344388,195.15411,153.94479,180436.802448,543.76131024
23,3.2782278,195.15537,153.51732,180990.404592,563.62854
24,3.3274327,195.15665,152.78868,181564.230216,583.60180968
25,3.3821135,195.15846,152.09902,182157.904416,603.41658336
26,3.4423443,195.16036,151.53187,182771.165064,623.33590344
27,3.5081323,195.16256,151.04442,183404.283432,643.51061544
28,3.5794514,195.165,150.5972,184058.170872,664.0637976
29,3.6562971,195.16791,150.0333,184732.690224,684.96737784
30,3.7386839,195.17083,149.85171,185428.015224,706.32709128
31,3.8263599,195.1743,151.07111,186145.959432,729.358968
32,3.918513,195.17816,151.99456,186888.02856,755.15812392
33,4.014505,195.18245,151.54812,187656.3684,781.90581744
34,4.1144093,195.18689,151.37817,188451.765336,809.01796032
35,4.218259,195.19189,151.23541,189274.697904,836.89280424
36,4.3260492,195.19741,151.01744,190125.7056,865.49999112
37,4.4377761,195.20313,150.86902,191005.971048,894.82763376
38,4.5534581,195.20949,150.71972,191915.591784,924.98497248
39,4.6730464,195.21615,150.74289,192856.161912,956.02498152
40,4.7964799,195.2233,150.75992,193827.992328,988.12919976
41,4.9236783,195.23081,150.70623,194832.863064,1021.13903976
42,5.0546637,195.23889,150.6554,195870.716208,1055.12152704
43,5.1893952,195.24721,150.61968,196943.179392,1090.00753296
44,5.3278413,195.25613,150.62107,198051.200544,1125.85000128
45,5.4699832,195.2654,150.60539,199195.191144,1162.66075824
46,5.6157606,195.27493,150.6311,200376.57156,1200.4269108
47,5.7650849,195.28502,150.68016,201596.695104,1239.14937336
48,5.917908,195.29547,150.77873,202855.573968,1278.84945144
49,6.0741053,195.30619,150.91636,204154.616328,1319.57411472
50,6.2335559,195.3175,150.98639,205494.767064,1361.23966512
51,6.3961517,195.32912,151.07203,206877.26976,1403.8571364
52,6.5618059,195.34101,151.16146,208302.737064,1447.4229624
53,6.7304069,195.35327,151.69744,209772.372936,1492.03824528
54,6.9016717,195.366,153.06139,211287.698328,1538.50448712
55,7.0751304,195.37924,154.24732,212850.545088,1587.20201736
56,7.2504055,195.39264,155.39005,214462.830408,1638.06813864
57,7.4271394,195.40677,156.55627,216127.38588,1691.12379072
58,7.6050415,195.42113,157.39278,217845.564816,1746.3006984
59,7.7838868,195.4359,157.35144,219620.31768,1803.2370336
60,7.963755,195.4512,157.49845,221452.534488,1861.51915224
61,8.144626,195.46693,157.76419,223343.702664,1921.16317824
62,8.3264269,195.48295,158.0407,225295.699776,1982.41243344
63,8.5091609,195.4994,158.31766,227309.397552,2045.58704928
64,8.6927794,195.51609,158.60375,229387.548336,2110.91263872
65,8.8772848,195.53326,158.89947,231532.06932,2178.51843696
66,9.062669,195.55076,159.2145,233745.356232,2248.65819
67,9.2489195,195.56875,159.55673,236030.1858,2321.51889264
68,9.4359704,195.58692,159.91099,238388.755632,2394.56588904
69,9.6229263,195.60539,160.33792,240813.116544,2450.24410128
70,9.8074369,195.62398,160.88711,243279.555096,2478.35839608
71,9.9875233,195.64232,161.36929,245764.62912,2489.55281616
72,10.162443,195.66043,161.81974,248256.588576,2494.46573496
73,10.331978,195.67846,162.25304,250752.42204,2496.98048736
74,10.496178,195.69619,162.67613,253250.236704,2498.42246568
75,10.655134,195.71364,163.09304,255749.398584,2499.20766096
76,10.808995,195.73073,163.50418,258248.731152,2499.49679424
76.360001,10.863167,195.73689,163.65189,259148.342256,2499.50426184
77,10.957874,195.74778,163.9064,260748.011904,2499.4173024
78,11.10189,195.76449,164.25479,263247.128064,2499.03962472
79,11.241153,195.781,164.61146,265746.110112,2498.4041472
80,11.375829,195.79736,164.99328,268244.019264,2497.57756008
81,11.506007,195.8134,165.38396,270741.352344,2496.6163428
82,11.631846,195.8293,165.77538,273237.371736,2495.55188976
83,11.753454,195.84491,166.16552,275732.193264,2494.39761216
83.760002,11.843105,195.85676,166.46129,277627.680456,2493.46324776
84,11.87094,195.86037,166.55607,278225.89008,2493.15802104
85,11.984397,195.87567,167.01619,280718.766984,2491.83762744
86,12.093984,195.89071,167.50494,283209.75108,2490.44228352
86.760002,12.17473,195.90212,167.84674,285101.912904,2489.33278104
87,12.199778,195.90562,167.94773,285699.327,2488.97345232
88,12.301858,195.92038,168.33941,288187.814784,2487.4314996
89,12.400374,195.9349,168.6992,290674.144584,2485.8204792
89.760002,12.472874,195.94585,168.94472,292563.185256,2484.55226736
90,12.49537,195.94928,169.0183,293159.221656,2484.1442316
90.760002,12.565291,195.96001,169.25923,295046.58288,2482.82801376
91,12.586968,195.9634,169.33735,295642.39068,2482.40187288
91.160004,12.601299,195.96574,169.38989,296039.816352,2482.11587904
91.599998,12.640328,195.97185,169.53627,297131.451456,2481.4222152
91.639999,12.643828,195.97235,169.54903,297230.996088,2481.65133336
91.68,12.647336,195.973,169.56357,297330.321264,2482.0644288
92,12.675268,195.97748,169.94484,298125.264048,2486.74390128
92.040001,12.678758,195.978,170.03105,298224.424632,2487.3620052
93,12.760786,195.99149,171.80679,300619.878312,2502.78326976
94,12.843622,196.00531,168.30436,303131.152944,2519.76639048
95,12.923977,196.01867,160.70649,305659.29216,2537.15873568
96,13.002006,196.03082,153.8723,308205.62184,2554.59043056
97,13.07801,196.04118,148.58102,310768.65456,2571.9685416
98,13.152166,196.0495,144.83194,313349.0304,2589.34326936
99,13.224632,196.05552,142.38056,315947.41992,2606.89615272
100,13.295611,196.05907,140.90455,318563.244,2624.78044512
101,13.365218,196.05991,140.14161,321197.11224,2643.11562816
101.6,13.406367,196.05912,139.9471,322786.36992,2654.37896352
102,13.433559,196.05808,140.11119,323849.60376,2662.00365744
103,13.500716,196.05336,141.07563,326521.29768,2681.78779872
104,13.566726,196.04601,141.63774,329213.44368,2702.42361216
105,13.631661,196.03608,142.15449,331926.65136,2723.89360224
106,13.695585,196.02334,142.72428,334661.43888,2746.24071528
107,13.758508,196.00804,143.33013,337419.5436,2769.50521536
108,13.820523,195.99013,143.92687,340200.93504,2793.71691192
109,13.881654,195.9696,144.52864,343006.95432,2818.90113384
110,13.941912,195.94658,145.13089,345839.12544,2845.01179536
111,14.001381,195.92102,145.7418,348697.47888,2872.06224672
112,14.060075,195.89292,146.36395,351583.2948,2900.09220336
113,14.118018,195.86242,146.95687,354497.7924,2929.12668936
114,14.175246,195.82954,147.56355,357441.94704,2959.17271512
115,14.231799,195.7942,148.19597,360416.49024,2990.26115688
116,14.287691,195.75665,148.81816,363422.82408,3022.40783376
117,14.342959,195.71681,149.44827,366461.74104,3055.6166472
118,14.397621,195.6748,150.07798,369534.39936,3089.9203632
119,14.451685,195.63064,150.71291,372642.20112,3125.3265408
120,14.505195,195.58438,151.3594,375785.75592,3161.8562112
121,14.558174,195.53603,152.00604,378966.0696,3199.519128
122,14.610597,195.4857,152.64462,382185.0624,3238.2951744
123,14.66252,195.43344,153.2709,385443.00864,3278.183436
124,14.713934,195.37938,153.90994,388741.43232,3319.1869608
125,14.764828,195.32363,154.57304,392081.94888,3361.3371432
126,14.81525,195.26602,155.23267,395464.83264,3404.59314
127,14.865186,195.20688,155.89223,398891.54664,3448.9732392
127.36,14.883056,195.18523,156.11719,400135.89264,3465.2196888
127.44,14.887022,195.18037,156.17177,400413.13872,3468.8492472
127.52,14.890978,195.17551,156.23376,400690.842,3472.485816
127.6,14.894923,195.17063,156.30624,400968.972,3476.1297
128,14.914658,195.14625,156.82088,402363.18816,3495.3766008
128.08,14.918594,195.14125,156.94168,402643.02504,3499.2545712
128.16,14.92253,195.13636,157.06409,402923.10576,3503.1413808
129,14.96367,195.08394,157.72054,405883.17096,3544.4890248
130,15.01224,195.02031,158.01094,409452.68376,3594.7267704
131,15.060386,194.95527,158.49789,413073.00672,3646.0334496
132,15.108135,194.88894,159.1259,416744.9628,3698.4764232
133,15.155455,194.82134,159.74193,420470.41128,3752.066664
134,15.202378,194.75261,160.40197,424249.68744,3806.8273368
135,15.248874,194.68285,161.06982,428084.4372,3862.733448
136,15.294958,194.61211,161.75618,431975.2092,3919.8151728
137,15.340567,194.54067,162.46552,435924.3504,3978.0779976
138,15.385725,194.46836,163.15621,439932.13512,4037.4999768
139,15.430419,194.3955,163.86198,443999.59968,4098.1088472
140,15.474607,194.32208,164.5493,448128.63384,4159.898208
141,15.518291,194.24822,165.22848,452319.90816,4222.8747648
142,15.561452,194.17412,165.91262,456574.82472,4287.0641208
143,15.604084,194.09979,166.53132,460894.38936,4352.4348816
144,15.646158,194.02531,167.17351,465280.12608,4418.927916
145,15.687691,193.95081,167.81069,469732.40064,4486.3700976
146,15.728634,193.87638,168.45452,474252.76752,4554.5084424
147,15.768975,193.8022,169.1392,478841.62296,4623.2905248
148,15.808682,193.7284,169.71911,483499.60704,4692.5633352
149,15.847741,193.65487,170.27261,488227.116,4762.1787408
150,15.886146,193.58203,170.83294,493023.96696,4831.9468512
151,15.923858,193.50967,171.39142,497890.76952,4901.7878088
151.60001,15.946145,193.46662,171.71928,500844.37296,4943.667024
152,15.960848,193.43809,171.92439,502827.58464,4971.545556
153,15.997103,193.3673,172.3972,507833.9856,5041.0359936
154,16.032601,193.29741,172.89157,512909.69808,5110.1996856
155,16.067328,193.2286,173.39067,518054.2344,5179.0722936
156,16.10124,193.16077,173.85989,523267.77744,5247.6041352
157,16.134346,193.09405,174.2861,528549.2604,5315.890308
158,16.166576,193.02859,174.24632,533898.31752,5380.3451448
159,16.197865,192.96448,174.16593,539303.15304,5425.182444
160,16.227982,192.90153,175.57159,544741.12032,5447.9866656
161,16.256729,192.83999,175.75476,550194.90672,5458.0060512
162,16.28405,192.77972,175.43361,555654.78912,5461.12446
163,16.309932,192.72076,175.15894,561116.43936,5461.1902968
164,16.334457,192.6629,174.88671,566576.718,5459.9497608
165,16.357618,192.60628,174.58664,572035.77744,5458.1002344
165.60001,16.370872,192.57288,174.36404,575310.48768,5456.75058
166,16.379459,192.55078,174.197,577492.91664,5455.8066144
167,16.400022,192.49638,173.71748,582947.64792,5453.3633376
168,16.419358,192.44307,173.19238,588399.54456,5450.8453848
169,16.437479,192.39073,172.67376,593849.24664,5448.2734824
170,16.454433,192.33949,172.17855,599296.11408,5445.6500688
170.56,16.463422,192.31116,171.90842,602345.42472,5444.1595968
170.60001,16.464052,192.30911,171.88919,602563.14336,5444.0532216
171,16.470236,192.28915,171.69596,604740.69552,5442.9800208
172,16.484946,192.2398,171.20216,610182.28992,5440.2718728
173,16.498577,192.19138,170.69843,615621.20208,5437.5271488
174,16.511163,192.14381,170.1893,621057.31008,5434.7476776
175,16.522738,192.09721,169.67764,626490.43104,5431.9334592
175.60001,16.529204,192.06961,169.40264,629749.04784,5430.2296272
176,16.533311,192.0514,169.23998,631921.08312,5429.0875416
177,16.542925,192.00652,168.8804,637348.65672,5426.211144
