"Time (sec)","Elevation (deg)","Azimuth (deg)","Aspect Angle (deg)","Range (m)","Range Rate (m/s)"
30,-0.030563755,-46.732969,73.014053,436580.5848,-268.06503156
31,0.018091261,-46.814496,72.73402,436309.73952,-273.589781496
32,0.069378733,-46.89879,72.580004,436032.98112,-280.356795648
33,0.12310586,-46.986132,72.832892,435749.42568,-287.322929544
34,0.17936832,-47.076557,73.007974,435458.25024,-294.149013936
35,0.23822373,-47.170199,73.200751,435160.64352,-301.013756112
36,0.29972857,-47.267113,73.412321,434856.57504,-307.8618684
37,0.36396182,-47.367379,73.605491,434544.88656,-314.71160832
38,0.43097357,-47.47109,73.81612,434227.13256,-321.58753056
39,0.50083756,-47.578372,73.97141,433901.91096,-328.51246464
40,0.57358483,-47.6893,74.130892,433570.04472,-335.53478232
41,0.64927862,-47.804063,74.291965,433230.64992,-342.65210616
42,0.72798312,-47.922696,74.509567,432884.82384,-349.74193704
43,0.80978876,-48.04533,74.700913,432531.28632,-356.82759216
44,0.89475721,-48.172148,74.90076,432171.13464,-363.88892424
45,0.98296741,-48.303155,75.108555,431803.9116,-370.91291832
46,1.0744993,-48.438505,75.309425,431429.16,-377.91185784
47,1.169407,-48.578424,75.516977,431047.76376,-384.82475232
48,1.2677546,-48.72288,75.723098,430659.63144,-391.65660048
49,1.3696009,-48.87203,75.938881,430264.33632,-398.38646256
50,1.4749813,-49.026061,76.189705,429863.12808,-404.9417352
51,1.5839707,-49.185077,76.419307,429455.09232,-411.30538008
52,1.6966321,-49.349151,76.677532,429040.50336,-417.44496648
53,1.8130261,-49.518462,76.80244,428619.8184,-423.3796968
54,1.9331425,-49.693234,76.714506,428193.34224,-429.49752048
55,2.0568898,-49.873737,76.679011,427760.95296,-435.88466544
56,2.1842407,-50.060176,76.623371,427321.33992,-442.4722164
57,2.315159,-50.253045,76.572957,426875.93568,-449.22777312
58,2.4496523,-50.452453,76.629243,426423.2772,-456.07461744
59,2.5877734,-50.658832,76.932465,425963.57784,-462.67030656
60,2.7296732,-50.872334,77.183094,425497.99584,-468.79340328
61,2.875485,-51.093146,77.417919,425026.62264,-474.45125328
62,3.0253315,-51.321503,77.660023,424549.33632,-479.64717888
63,3.1793324,-51.557565,77.909191,424067.478,-484.3953228
64,3.3376586,-51.801666,78.171063,423580.49904,-488.6673996
65,3.5004603,-52.054119,78.430593,423089.9844,-492.41726256
66,3.6679254,-52.31522,78.68898,422595.81216,-495.62723328
67,3.8402346,-52.585382,78.949784,422099.26248,-498.2490924
68,4.0175584,-52.864855,79.21173,421599.84768,-499.69951368
69,4.1992437,-53.152794,79.474547,421101.19488,-496.61390136
70,4.383275,-53.446471,79.723563,420608.88192,-487.54457736
71,4.5677645,-53.743117,80.01095,420127.14552,-475.033848
72,4.7518156,-54.041363,80.312322,419658.72888,-461.3134284
73,4.9350885,-54.34091,80.609359,419204.8512,-447.17247624
74,5.1174598,-54.641495,80.899069,418764.96384,-432.88235496
75,5.2988518,-54.943058,81.186709,418339.15824,-418.52846952
76,5.4792139,-55.245435,81.470899,417927.34296,-404.15071824
76.360001,5.5438727,-55.354486,81.573136,417782.9592,-398.97408648
77,5.6584707,-55.548667,81.757049,417530.76768,-389.77293648
78,5.8366191,-55.852685,82.056472,417148.0608,-375.41073
79,6.013612,-56.157526,82.35001,416779.71,-361.07077392
80,6.1894119,-56.463075,82.635371,416426.142,-346.76931408
81,6.3640181,-56.769365,82.919414,416086.25952,-332.5127208
82,6.537386,-57.076331,83.202423,415761.03792,-318.30727296
83,6.7095151,-57.383957,83.482081,415449.59328,-304.154366544
83.760002,6.839475,-57.618256,83.692099,415222.85256,-293.431261752
84,6.8803725,-57.692277,83.75773,415152.5352,-290.053053624
85,7.0499448,-58.001325,84.013793,414869.5284,-276.002209488
86,7.2182175,-58.310934,84.261901,414600.42048,-262.009713216
86.760002,7.3452102,-58.54667,84.458611,414405.71424,-251.411756256
87,7.3851631,-58.621185,84.522606,414345.51624,-248.071590216
88,7.5507688,-58.932114,84.797256,414104.54136,-234.18570384
89,7.7150212,-59.243552,85.080064,413877.28248,-220.358723112
89.760002,7.8389357,-59.480715,85.301609,413713.81824,-209.884466184
90,7.8778988,-59.555634,85.372487,413663.86152,-206.58525612
90.760002,8.0007666,-59.793162,85.596175,413510.51664,-196.156460112
91,8.039396,-59.868242,85.664791,413463.85176,-192.86953044
91.160004,8.0650942,-59.918365,85.708531,413433.49368,-190.678131216
91.599998,8.1356129,-60.056081,85.820062,413350.64904,-184.67380896
91.639999,8.1420207,-60.068643,85.828873,413342.90712,-184.14863856
