"Time from drop (sec)","Geodetic Altitude (m)","Geocentric Radius (m)","Inertial FPA (deg)","Relative FPA (deg)","AoA (deg)","Sideslip (deg)","Bank Angle (deg)","Inertial Pitch (deg)","Inertial Yaw (deg)","Inertial Roll (deg)","Inertial Roll Rate (deg/sec)","Inertial Pitch Rate (deg/sec)","Inertial Yaw rate (deg/sec)","Ideal Velocity (m/s)","Inertial Velocity (m/s)","Relative Velocity (m/s)","Inertial Pos X (m)","Inertial Pos Y (m)","Inertial Pos Z (m)","Inertial Velocity X (m/s)","Inertial Velocity Y (m/s)","Inertial Velocity Z (m/s)","Acceleration X (m/s^2)","Acceleration Y (m/s^2)","Acceleration Z (m/s^2)","Mach Number","Dynamic Pressure (Pa)","Alpha*Q (deg*Pa)","Beta*Q (deg*Pa)","Stage Prop Mass (kg)","Vehicle Mass (kg)","Net Thrust (N)","AtmDens (kg/m^3)","AtmPres (Pa)","Geodetic Latitude (deg N)","Longitude (deg E)","Mean Anomaly (deg)","Time of Vacuum Impact (sec)","Geodetic Latitude of Vacuum Impact Point (deg N)","Geodetic Longitude of Vacuum Impact Point (deg N)","TotalAeroHeat (J/m^2)","AeroHeatRate (W/m^2)","Apogee Altitude over Equatorial Radius (m)","Perigee Altitude over Equatorial Radius (m)","Inclination (deg)","True Anomaly (deg)","Apogee Radius (m)","Perigee Radius (m)","ECI Longitude of Ascending Node (deg)","Argument of Perigee (deg)","Earth-relative longitude of nearest Ascending Node Crossing (deg)","Aero Force on body X axis (N)","Aero Force on Body Y axis (N)","Aero Force on Body Z axis (N)","XBodyAccel (m/s^2)","YBodyAccel (m/s^2)","ZBodyAccel (m/s^2)","Earth-relative Azimuth (deg)","Inertial Azimuth (deg)","Downrange (m)","Crossrange (m)","Eccentricity","Period (s)","A (m)","Lift (N)","Drag (N)","ECI2Body11","ECI2Body12","ECI2Body13","ECI2Body21","ECI2Body22","ECI2Body23","ECI2Body31","ECI2Body32","ECI2Body33"
0,12237.85716,6383027.112,0.1064828,0.0007340431,4,0,-0.05337828,-86,-0.05337828,-17.01,0,0,0,0,399.2556912,237.9117924,-2818996.7496,-4340873.208,3735384.96,198.20253984,-291.34350672,-187.7228148,3.857786544,5.76987924,-4.6479714,0.8228761,9327.23724224995,37308.9489689998,0,15100.5345178226,23086.808370549,0,0.316108680556985,19677.0005072581,36,-123,179.9847,50.06626,35.89558,-123.0291,0,1494.83916543351,4890.139328,-6369979.928,48.70947,179.9997,6383027.112,8157.197808,96.33157,308.845,100.0868,-5070.98598606182,66.8824371160854,-32076.2283767406,-0.2196210492,0.0028966326624,-1.3892000664,-167.2445,125.5336,0,0.00000000008841246132,0.9974474,1797.786,3195593.304,31640.0090758185,7295.15462057306,-0.5808167,-0.3586778,-0.7307545,-0.7087414,0.66439,0.2372163,0.4004218,0.6556951,-0.6400986
5,12143.134464,6382935.672,-5.015891,-8.604871,14.15366,-0.1289852,-0.3923053,-84.28301,-0.4239479,-17.08348,-0.2411073,1.467504,0.04313843,0,400.2606168,238.80007104,-2817961.6488,-4342266.144,3734394.36,215.03536368,-266.41994976,-207.33739584,2.900022648,4.140546456,-2.9903159904,0.8249129,9513.52017783885,134651.114676673,-1227.10304769826,15100.5345178226,23086.808370549,0,0.320405496841693,19971.186394485,35.9896,-123.0029,180.718,46.34426,35.89365,-123.0296,7505.07081625851,1519.90869808452,4861.8241,-6370002.152,48.55715,180.0128,6382999.68,8135.410704,96.58425,308.6828,100.3338,-4608.29087008565,328.270881853966,-97144.4894445933,-0.19958194272,0.014217191784,-4.207264128,-167.2614,125.3009,1183.4967092,0.1317055356,0.9974542,1797.765,3195565.872,93055.9065469266,28218.6060417815,-0.593,-0.3777411,-0.7110996,-0.7108643,0.6603835,0.2420034,0.3781838,0.6490033,-0.6601301
10,11969.761176,6382768.032,-2.920282,-4.093616,18.94127,-0.2036906,-0.3466852,-75.1029,-0.3941211,-17.18772,-0.1978963,1.727918,-0.008089664,99.5266488,434.6719272,324.21576,-2817007.32,-4343668.224,3733193.448,161.36788656,-302.12208816,-267.6233916,-12.85149576,-10.259577144,-9.592790568,1.112838,17789.948528351,336964.169451148,-3623.64503199439,14250.4026261212,22236.6810147713,503122.778126462,0.328331250000353,20521.2539617547,35.97739,-123.0065,180.4546,47.20865,35.84412,-123.0471,20546.8413259259,3967.77509051117,4655.15942,-6368490.92,55.93529,180.0089,6382792.416,9644.957088,86.21607,315.0776,89.9404,-21008.399109395,1232.85798233156,-276539.532381619,21.677821008,0.05543556096,-12.584664696,-166.0895,136.325,2575.785676,15.869475012,0.9969824,1798.3146,3196218.144,254711.085824565,109620.149715618,-0.6470797,-0.4751862,-0.5962264,-0.7096314,0.6613042,0.2431047,0.2787671,0.5804092,-0.7651236
20,12415.781112,6383225.232,14.19526,15.23417,14.4923,0.03064991,0.1359503,-60.4738,0.05544251,-16.97386,-0.1209559,0.7813016,-0.01473126,393.9619248,555.365412,512.5178472,-2816165.7672,-4347417.264,3730249.08,-2.3371183128,-462.3895248,-307.605684,-18.645755952,-19.045796808,-2.247453468,1.755988,41307.8411666749,598645.920425959,1266.08188773156,12084.2405117203,20070.5143644467,672909.617892309,0.308103971363348,19137.0644027886,35.94175,-123.0179,177.2037,66.18241,35.65768,-123.1123,109280.358452852,16012.4982044598,6041.212888,-6363286.8,67.91789,179.9324,6384179.256,14850.60276,74.05295,320.97,77.6733,-61132.0875873897,-873.203695962097,-336058.561364667,30.47683008,-0.04350133032,-16.964119488,-164.9636,152.4016,6660.37538,146.6743256,0.9953585,1801.0968,3199516.08,310024.677128113,143265.919744638,-0.6969477,-0.6059639,-0.3834991,-0.7082523,0.6654817,0.2356118,0.1124394,0.4358232,-0.8929813
30,14774.942256,6385602.672,26.78179,26.70551,8.948855,-0.03724024,0.9017454,-54.60646,0.7223145,-16.55398,0.3319995,-0.4324891,-0.05001361,769.5980544,760.8155472,758.2198704,-2817137.1648,-4353007.296,3727060.872,-194.53899624,-658.1518968,-328.37628,-20.250930288,-20.42986008,-1.974279516,2.620727,63241.586708479,565939.873121672,-2355.13130590922,9618.6666098061,17604.9404625325,692206.892903632,0.217274999932541,13149.4895884948,35.891,-123.0351,172.9561,100.6099,35.30259,-123.2411,402595.571235689,45588.0735124498,13527.487668,-6354454.612,76.5707,179.7847,6391665.144,23683.194696,66.97299,323.3401,70.47644,-93241.8866926606,726.518250332944,-242856.308326598,34.01741736,0.04126266576,-14.053782408,-164.2518,163.3802,12494.503184,419.6459764,0.9926167,1807.9908,3207672.528,225365.189219936,129866.007986395,-0.7053316,-0.6468106,-0.2900749,-0.7070866,0.6710184,0.2230758,0.05035784,0.3624505,-0.9306416
40,19129.988664,6389982.648,30.75695,29.74426,5.974093,-0.2568358,1.559241,-54.43286,1.348454,-15.98561,-0.9356241,0.1616456,-0.08258975,1209.0757632,1048.967676,1075.5221568,-2820182.4216,-4360596.816,3723391.08,-423.2318688,-865.901748,-414.0317856,-25.339252344,-22.596796056,-10.50674556,3.694757,62060.0455576213,370752.406368909,-15939.2376660099,7110.6772853732,15096.9511380996,710694.591580978,0.107250332107624,6494.41129573018,35.82199,-123.0596,168.9607,139.6173,34.70278,-123.4687,1090571.45920913,94527.4466922982,26813.60788,-6336245.748,84.05637,179.55,6404951.376,41891.04144,61.3884,324.5876,64.79189,-81248.8584668922,3104.25061555702,-108033.869405399,41.68728264,0.20559515904,-7.46727996,-163.5888,172.6797,20451.37672,890.27955,0.9870042,1821.321,3223421.544,98977.2457145129,92038.9541212457,-0.7042607,-0.6489941,-0.2877907,-0.7075093,0.6751214,0.208906,0.05871489,0.3507389,-0.9346308
50,25579.267104,6396465.744,32.34032,31.04505,5.935658,-0.3845269,0.2098908,-53.22343,0.2101758,-16.8513,0.05415751,0.06478626,0.02315645,1723.9146624,1433.2464096,1479.2587128,-2825798.0568,-4370493.672,3718657.536,-709.8398808,-1122.1818552,-539.4728352,-31.30658712,-27.827511528,-14.487153144,4.960376,40685.3451316456,241494.284662487,-15644.6112804003,4616.3819145906,12602.655767317,687187.07481081,0.0372522303707714,2363.5189696774,35.72785,-123.0941,164.1771,189.893,33.67429,-123.8607,2322566.42658363,151507.42246759,49372.85692,-6301987.452,89.49174,179.1259,6427509.624,76149.0984,57.47797,325.3262,60.78337,-50368.1474761338,2498.91304257781,-55804.9418631698,50.52297744,0.19825965936,-4.78906332,-163.1999,179.3753,31327.37636,1637.0983648,0.9765827,1845.4512,3251828.904,50290.2146334345,55861.3008310352,-0.705497,-0.6561845,-0.267761,-0.7082349,0.6666399,0.2323672,0.02602443,0.3535721,-0.9350452
60,34441.60752,6405372,31.69273,30.44602,1.919358,-0.1742189,0.06319071,-58.02704,-0.06044814,-17.24845,-0.113905,-0.06633072,-0.007624251,2318.0728848,1927.9648512,1988.6669904,-2834596.7184,-4383182.496,3712351.224,-1065.5329464,-1423.0246368,-746.1156528,-40.1128992,-32.92986048,-26.35128588,6.421484,18554.9936704165,35613.6765794126,-3232.63185463666,2239.10702497482,10225.3826920707,671114.31564839,0.00936253653615269,642.679000597225,35.60119,-123.1414,158.9828,249.3367,31.97869,-124.5,4064170.42464258,194149.13598455,82890.5196,-6236602.592,93.474,178.4014,6461028.48,141535.16016,54.63483,326.1034,57.86219,-20615.0695612873,377.253497261378,-6256.74397382019,63.60666984,0.036889182,-1.0470376824,-162.9523,-175.7357,45977.27048,2725.682852,0.9571272,1887.708,3301282.704,5562.01182550558,20810.1996988839,-0.7032306,-0.6220242,-0.3443146,-0.7064945,0.6655992,0.2405062,0.07957479,0.4123877,-0.9075264
70,45924.61224,6416914.776,30.39216,29.30316,1.752314,0.1083607,0.2193617,-59.55383,-0.09674803,-17.12846,-0.007379555,-0.3268521,0.009610514,2989.5463704,2526.6658128,2597.8664832,-2847457.4496,-4399233.264,3703448.016,-1485.1666512,-1767.5577552,-1026.6739944,-16.279267416,-11.577041616,-15.960626448,7.965332,6189.41883405134,10845.8027480444,670.689909705901,78.257293692886,8064.5321443225,148629.629850535,0.00182443586332373,139.462266739794,35.42982,-123.2059,153.2186,322.2134,29.29639,-125.478,6122501.13795283,199844.888376754,131429.958,-6123178.704,96.15935,177.2197,6509567.88,254957.15328,52.71253,327.2953,55.88939,-6778.20009733395,-107.588691386144,-1574.55257392941,17.586920376,-0.013339291584,-0.3174357888,-162.838,-172.4504,65811.54228,4274.491932,0.9246193,1957.5906,3382261.968,1366.35889909308,6822.24193954664,-0.6993572,-0.612231,-0.3688803,-0.7079325,0.6645196,0.2392599,0.09864582,0.4284705,-0.8981548
76.36,53889.46296,6424921.872,29.33503,28.26719,1.231698,0.1172058,0.1783667,-61.273,-0.1555678,-17.25211,-0.02649066,-0.2609793,0.001189114,3016.6507104,2518.1116008,2590.519584,-2856892.8384,-4410407.232,3696769.848,-1473.4842768,-1739.351868,-1069.7599128,3.992306976,6.340894608,-5.681298264,7.998837,2280.88003669028,2809.3555223702,267.332339738376,4.48504197589525,7990.7598812657,5563.19950067685,0.000674233000828894,51.0231670600641,35.306,-123.2526,154.1237,318.8614,29.19025,-125.5157,7126275.0044255,120947.917687852,133331.73976,-6118663.528,96.22572,177.2903,6511469.832,259472.82624,52.66498,327.344,55.84052,-2492.26473055164,-31.7178485058639,-427.862115598033,0.3842470344,-0.00396881604,-0.05815465128,-162.8112,-172.3806,80145.37408,5415.749892,0.923357,1960.377,3385471.512,374.139252826318,2500.54242615548,-0.6970724,-0.5981692,-0.3953274,-0.7071883,0.6644905,0.2415307,0.118215,0.4479353,-0.8862162
