At 1999 Jan 0.0 TDT=UT
Planet		RA Pole	   Dec Pole      W      dW/dt (deg/day)
Sun		 286.1	      61.45          
Mercury		281.01	      67.16    239.92      6.1385025
Venus		272.76	      52.88    343.12     -1.4813688     
Earth		  0.00	      90.00      0.00    359.01285
Mars		317.67	      52.88     94.99    350.8919830
Jupiter		268.05	      64.49     49.35    870.270  (Sys II)    current GRS Lon=64deg (Feb99)
Saturn		 40.54	      83.53    242.93    810.7939024     
Uranus		257.30	     -15.17    278.98   -501.1600928
Neptune		299.32        42.95    254.54    536.3128492
Pluto 		313.01	       9.09     13.56    -56.3623195
